title,number,page_id,namespace,size_bytes,last_change,item,total_views
Uganda Electricity Distribution Company Limited,170,51957806,(Article),8578,2025-05-08T11:22:14Z,Q28232201,1827
Uganda Electricity Generation Company Limited,124,43791377,(Article),14474,2025-07-22T12:49:38Z,Q18356039,1328
Uganda Electricity Transmission Company Limited,138,47572188,(Article),8527,2025-07-22T13:04:23Z,Q21178944,1939
Uganda Energy Credit Capitalisation Company,158,51467331,(Article),8426,2025-07-22T13:08:34Z,Q28223299,487
Uganda Export Promotion Board,52,20376164,(Article),5514,2024-10-10T14:08:53Z,Q7877594,380
Uganda Financial Intelligence Authority,128,44031614,(Article),5848,2025-03-08T02:43:39Z,Q18356043,451
Uganda Free Zones Authority,216,60437254,(Article),4109,2024-10-22T07:35:37Z,Q65063931,528
Uganda Game and Fisheries Department,102,36769501,(Article),7676,2025-07-28T06:23:37Z,Q7877597,190
Uganda Hotel and Tourism Training Institute,200,56108613,(Article),7985,2025-07-22T13:21:48Z,Q48806349,698
Uganda Industrial Research Institute,199,56091357,(Article),5899,2025-07-22T13:23:34Z,Q30262098,982
Uganda Investment Authority,54,20380439,(Article),5697,2025-07-22T13:26:21Z,Q17108413,1721
Uganda Junior Staff College,87,25983997,(Article),4716,2025-07-22T13:27:06Z,Q7877602,506
Uganda Legislative Council,100,34836343,(Article),11555,2025-07-29T02:25:02Z,Q7877606,8516
Uganda Local Governments Association,106,37183615,(Article),11222,2025-06-13T18:18:00Z,Q7877607,1145
Uganda Medical and Dental Practitioners Council,129,44271817,(Article),5837,2024-07-02T11:39:18Z,Q20746337,1003
Uganda Microfinance Regulatory Authority,206,57185883,(Article),5317,2024-10-06T05:54:29Z,Q55075130,968
Uganda Military Academy,86,25626933,(Article),7964,2025-07-22T13:33:49Z,Q7877612,1260
Uganda Ministry of Defence Headquarters,250,77729802,(Article),6182,2024-08-30T12:52:39Z,Q130279605,151
Uganda Ministry of Education Complex,242,75537005,(Article),6990,2024-01-08T14:40:35Z,Q124005374,274
Uganda National Bureau of Standards,187,55385218,(Article),7215,2025-07-22T02:37:47Z,Q2473886,1020
Uganda National Council for Higher Education,125,43800495,(Article),5089,2024-07-02T11:39:51Z,Q18356047,1699
Uganda National Examinations Board,209,58621517,(Article),3049,2025-06-17T03:03:19Z,Q60746495,5634
Uganda National Meteorological Authority,213,59877163,(Article),5175,2024-07-02T11:42:54Z,Q30262108,647
Uganda National Oil Company,116,42229215,(Article),26743,2025-07-22T13:45:44Z,Q17108424,2690
Uganda National Pipeline Company,193,55916832,(Article),11502,2025-07-17T15:14:59Z,Q48800968,403
Uganda National Rescue Front,26,4581773,(Article),6313,2025-07-22T13:47:47Z,Q7877619,4916
Uganda National Roads Authority,119,43100398,(Article),23232,2025-07-22T14:14:59Z,Q18356048,5461
Uganda People's Defence Force,98,33173286,Category,67,2018-04-03T06:03:46Z,Q8854416,84182
Uganda Police Band,226,63245820,(Article),7489,2025-07-22T14:37:51Z,Q86757130,501
Uganda Refinery Holding Company,194,55917295,(Article),4116,2025-07-22T20:07:12Z,Q48800989,520
Uganda Registration Services Bureau,146,49994790,(Article),7141,2025-04-13T00:56:23Z,Q24236432,5583
Uganda Retirement Benefits Regulatory Authority,126,43860315,(Article),5651,2024-07-02T11:40:00Z,Q18356056,611
Uganda Revenue Authority,55,20394487,(Article),11603,2025-06-16T10:34:27Z,Q7877627,12954
Uganda Road Fund,225,63006417,(Article),4349,2024-07-02T11:47:29Z,Q85811750,350
Uganda Standard Gauge Railway,202,56518346,(Article),16313,2025-04-14T15:57:45Z,Q48817219,6066
"Uganda v Commissioner of Prisons, Ex Parte Matovu",184,54780877,(Article),18832,2024-11-02T20:22:44Z,Q39057536,9349
Uganda–United Kingdom relations,237,71527684,(Article),6140,2025-06-14T01:06:58Z,Q64926678,1540
Ugandan civil servants,97,31930806,Category,133,2011-05-30T09:59:33Z,Q8854586,NA
Ugandan diplomats,31,8818563,Category,125,2025-04-06T03:55:20Z,Q7717319,NA
Ugandan expatriate judges,112,38525115,Category,258,2013-02-26T22:30:56Z,Q8854632,NA
Ugandan intelligence agencies,244,76103328,Category,135,2024-02-15T14:44:48Z,Q125071097,NA
Ugandan judges,47,18614427,Category,103,2022-07-17T20:08:12Z,Q8854684,NA
Ugandan lawyers,28,7705439,Category,171,2023-04-15T19:43:30Z,Q8854707,NA
Ugandan military personnel,20,2641054,Category,242,2023-01-15T19:55:46Z,Q8854728,NA
Ugandan monarchies,11,2022527,Category,237,2024-02-15T03:34:58Z,Q7236885,NA
Ugandan nationality law,228,63510446,(Article),42545,2025-07-12T14:35:13Z,Q96412128,3871
Ugandan officials of the United Nations,211,59059405,Category,197,2025-04-06T03:55:16Z,Q59935923,NA
Ugandan passport,101,35594517,(Article),8831,2025-07-22T16:02:32Z,Q7877695,8779
Ugandan people imprisoned abroad,51,20363519,Category,318,2013-03-05T00:36:17Z,Q8854755,NA
Ugandan people murdered abroad,49,19052706,Category,269,2020-01-07T13:47:19Z,Q8854757,NA
Ugandan Special Forces Command,238,72720688,(Article),9082,2025-07-29T06:49:35Z,Q123998037,10228
Ugandan urban planners,191,55749932,Category,209,2022-12-14T11:19:40Z,Q49796300,NA
Ugandan women civil servants,240,73522851,Category,147,2023-11-20T03:52:22Z,Q118313430,NA
United Nations Security Council Resolution 177,40,13200138,(Article),1287,2025-01-22T22:25:45Z,Q1895884,447
URA House,163,51861539,(Article),6670,2024-05-06T07:52:58Z,Q28223324,1095
Urban planning in Uganda,197,56056529,Category,158,2018-12-31T22:06:04Z,Q49651977,NA
Vice President of Uganda,25,3930434,(Article),3227,2025-06-18T11:20:15Z,Q3556899,11780
Vice presidents of Uganda,88,26339828,Category,166,2021-05-03T02:42:54Z,Q8896757,NA
Visa policy of Uganda,114,40720909,(Article),5424,2024-09-22T14:57:24Z,Q17086416,10648
Visa requirements for Ugandan citizens,134,45402493,(Article),56945,2025-05-29T16:17:11Z,Q19605241,12375
Wars involving Uganda,37,11612397,Category,266,2024-05-18T16:34:09Z,Q8167004,NA
Yoweri Museveni,223,61777477,Category,230,2025-02-01T01:19:11Z,Q55331116,496780
Yusuf Lule,6,1137940,(Article),23404,2025-06-09T04:20:34Z,Q452024,46405
