qitem,label,statements,occupation_names,description
Q137357147,Rebecca Nuwematsiko,8,research associate,Ugandan public health researcher
Q140072175,Ritah Namisango,8,public relations,Ugandan communication officer
Q134268981,Robin Koehler Aline,8,lacrosse player,Lacrosse player
Q136760071,Rose Kwatampora,8,educational organization,Ugandan associate professor
Q134279578,Sharon Pajije,8,beach volleyball player,Beach volleyball player
Q134268602,Shiran Bashabomwe,8,lacrosse player,Lacrosse player
Q133889178,Susan Kangume,8,senior lecturer,Ugandan academician and environmentalist
Q133864961,Susan Odongo,8,high court judge,Acting High Court Judge
Q122182199,Sylvia Namujuzi,8,archivist,Ugandan archivist
Q96972285,Taz Musisi,8,LGBTQ rights activist,
Q134268857,Teopista Nabunya,8,lacrosse player,Lacrosse player
Q134268797,Tracy Tushemerirwe,8,lacrosse player,Lacrosse player
Q126678651,Vanessa Mulondo,8,photographer,Ugandan documentary photographer
Q136683639,Vanessa Mulondo,8,documentary photography,Ugandan Photographer
Q134269232,Vanessa Namiya,8,lacrosse player,Lacrosse player
Q136821694,Viana Indi,8,media personality,media personality in Uganda
Q137047029,Victoria Sibiya,8,"pastor, media personality",media personality in Uganda
Q124666201,Vivian Agaba,8,print journalist,journalist in Uganda
Q136821779,Winnie Mbabazi,8,media personality,media personality in Uganda
Q138492441,Yvonne Shwanda,8,"jewelry designer, social entrepreneur","Zambian born jewellery designer, social entrepreneur, and founder of INONGE ZITA"
Q131298141,Agnes Ahebwa,7,make-up artist,Ugandan make up artist
Q133574711,Aisha Lubega,7,religious leader,religious leader from Uganda
Q133514657,Aisha Namakula,7,religious leader,religious leader
Q139963128,Anita Rukundo Tayebwa,7,honorary consul,Ugandan honorary consul and public figure
Q140032294,Apio Mercy,7,volunteer,
Q139658985,Apio Paska,7,sign language interpreter,Ugandan Sign Language Interpreter
Q139806816,Barbara Alupo,7,analyst,Ugandan gender analyst
Q136902028,Belinda Kyomuhendo,7,program manager,Ugandan program manager
Q136786871,Bruna Mukisa Patricia,7,board member,Ugandan human rights defender
Q133887945,Carol Aguti,7,field hockey player,Field hockey player
Q137194829,Danita Turiho,7,advocate,"representative for Umoja women's run 2026, advocate for reproductive justice and gender equality"
Q129094637,Desire Natooro,7,defender,Ugandan footballer and defender
Q134267984,Dinah Amoding,7,darts player,Darts Player
Q139658983,Dinavence Asiimire,7,secretary,Personal Assistant
Q139807634,Emma Mugizi,7,public relations officer,Ugandan public relations officer
Q109289594,Florence Adong-Ewoo,7,disability rights activist,Ugandan disability rights activist
Q131358998,Florence Maureen Mirembe,7,gynecologist,Ugandan gynaecologist
Q133852795,Florence Seera,7,table tennis player,Table Tennis player
Q139807716,Gloria Nyiramugisha,7,publicist,Ugandan publicist
Q111442515,Grace Kyomugisha,7,soldier,Ugandan politician
Q133879100,Grace Nakalema,7,performing artist,Ugandan Artist
