qitem,label,en_title,sitelink_count,views,priority,type_labels,num_strategies,strategies
Q143889,Uganda at the 1996 Summer Olympics,Uganda at the 1996 Summer Olympics,15,344,96.8,Olympic delegation,2,country_wd|keyword_title
Q451480,Roman Catholic Archdiocese of Mbarara,Archdiocese of Mbarara,14,394,96.8,Roman Catholic metropolitan archdiocese,1,country_wd
Q2505963,Kotido,Kotido,12,618,96.8,human settlement,1,country_wd
Q1003143,Bujagali Falls,Bujagali Falls,9,1251,96.8,waterfall,1,country_wd
Q38249480,Kakumiro District,Kakumiro District,9,1160,96.8,district of Uganda,1,country_wd
Q17009782,East African mountains,Eastern Rift mountains,7,3300,96.8,mountain range,1,country_wd
Q5468560,Foreign relations of Uganda,Foreign relations of Uganda,7,3123,96.8,foreign relations,2,country_wd|keyword_title
Q1186278,3rd parallel north,3rd parallel north,18,241,96.7,circle of latitude,1,country_wd
Q147515,Uganda at the 2008 Summer Olympics,Uganda at the 2008 Summer Olympics,17,255,96.7,Olympic delegation,2,country_wd|keyword_title
Q17466523,Solomon Mutai,Solomon Mutai,17,273,96.7,human,2,birth_death_wd|citizenship_wd
Q143842,Uganda at the 1968 Summer Olympics,Uganda at the 1968 Summer Olympics,16,279,96.7,Olympic delegation,2,country_wd|keyword_title
Q1077155,Roman Catholic Archdiocese of Tororo,Archdiocese of Tororo,14,364,96.7,Roman Catholic metropolitan archdiocese,1,country_wd
Q870628,Roman Catholic Diocese of Kiyinda–Mityana,Roman Catholic Diocese of Kiyinda–Mityana,12,539,96.7,diocese of the Catholic Church,1,country_wd
Q2658047,Nakapiripirit,Nakapiripirit,10,790,96.7,human settlement,1,country_wd
Q2184364,Uganda Cup,Uganda Cup,8,1701,96.7,"national association football cup, association football league",2,country_wd|keyword_title
Q134697017,2025 Rugby Africa Cup,2025 Rugby Africa Cup,7,2855,96.7,season of the rugby union African Cup,1,country_wd
Q146120,Uganda at the 1980 Summer Olympics,Uganda at the 1980 Summer Olympics,16,230,96.6,Olympic delegation,2,country_wd|keyword_title
Q1699253,John Baptist Kaggwa,John Baptist Kaggwa,14,336,96.6,human,2,birth_death_wd|citizenship_wd
Q913960,Roman Catholic Archdiocese of Gulu,Archdiocese of Gulu,14,316,96.6,Roman Catholic metropolitan archdiocese,1,country_wd
Q204690,Roman Catholic Diocese of Soroti,Roman Catholic Diocese of Soroti,13,363,96.6,diocese of the Catholic Church,1,country_wd
Q18589967,2017 IAAF World Cross Country Championships,2017 IAAF World Cross Country Championships,11,596,96.6,"World Athletics Cross Country Championships, recurring sporting event edition",1,country_wd
Q28858649,Victoria Kawesa,Victoria Kawesa,10,729,96.6,human,1,birth_death_wd
Q2901878,Jinja Airport,Jinja Airport,10,661,96.6,airport,1,country_wd
Q4790395,Kafu,River Kafu,10,738,96.6,river,1,country_wd
Q38249484,Kagadi District,Kagadi District,9,995,96.6,district of Uganda,1,country_wd
Q38249597,Omoro District,Omoro District,9,1013,96.6,district of Uganda,1,country_wd
Q38249629,Bunyangabu District,Bunyangabu District,9,923,96.6,district of Uganda,1,country_wd
Q2967735,Owen Falls,Owen Falls,8,1403,96.6,waterfall,1,country_wd
Q114247826,2022 Uganda Ebola outbreak,2022–2023 Uganda Ebola outbreak,7,2410,96.6,disease outbreak,2,country_wd|keyword_title
Q16932365,Wilfred de Souza,Wilfred de Souza,6,5011,96.6,human,1,birth_death_wd
Q7146898,Patrick Karegeya,Patrick Karegeya,6,4512,96.6,human,1,birth_death_wd
Q1243586,Dora Bloch,Murder of Dora Bloch,5,59236,96.6,human,1,birth_death_wd
