qitem,label,sitelink_count,occupation_qid,en_title,views,occupation,in_lgwiki
Q15462700,Elvania Namukwaya Zirimu,6,Q36180,Elvania Namukwaya Zirimu,340,writer,True
Q24852059,Clare Byarugaba,10,Q19509201,Clare Byarugaba,339,LGBTQ rights activist,True
Q62112360,Rachael Kungu,7,Q130857,Rachael Kungu,339,disc jockey,True
Q50146409,Florence Alice Lubega,11,Q82955,Florence Alice Lubega,338,politician,True
Q25051158,Edith Sempala,8,Q193391,Edith Sempala,338,diplomat,True
Q18749082,Harriet Mayanja-Kizza,6,Q39631,Harriet Mayanja-Kizza,336,physician,True
Q7301855,Rebecca Otengo Amuge,7,Q82955,Rebecca Amuge Otengo,330,politician,True
Q105956270,Acora Nancy Odonga,6,Q82955,Nancy Acora,325,politician,True
Q42754393,Cissy Kityo,5,Q39631,Cissy Kityo,324,physician,True
Q67080123,Everlyn Chemutai,7,Q82955,Everlyn Chemutai,316,politician,True
Q105965895,Santa Okot,5,Q82955,Santa Okot,313,politician,True
Q4762752,Angelina Wapakhabulo,11,Q193391,Angelina Wapakhabulo,312,diplomat,True
Q60169391,Sala Senkayi,6,Q901,Sala Senkayi,312,scientist,False
Q258576,Sylvia Jebiwott Kibet,26,Q4439155,Sylvia Jebiwot Kibet,306,long-distance runner,False
Q62716814,Lydia Oile,7,Q484876,Lydia Oile,303,chief executive officer,True
Q105962114,Prossy Akampurira,8,Q37226,Prossy Akampurira,302,teacher,True
Q16731505,Lillian Tindyebwa,5,Q36180,Lillian Tindyebwa,301,writer,True
Q4726017,Alice Muloki,6,Q5784340,Alice Muloki,300,consort,True
Q24572708,Joy Kabatsi,11,Q40348,Joy Kabatsi,298,lawyer,True
Q111439072,Ninsiima Ronah Rita,6,Q82955,Ninsiima Ronah Rita,295,politician,True
Q105760576,Agnes Taaka,6,Q82955,Agnes Taaka,294,politician,True
Q42902882,Hilda Tadria,6,Q121594,Hilda Tadria,294,professor,True
Q42122025,Doreen Amule,5,Q82955,Doreen Amule,293,politician,True
Q96656682,Sheila Kawamara-Mishambi,6,Q1930187,Sheila Kawamara-Mishambi,292,journalist,True
Q58003789,Awor Betty Engola,6,Q43845,Betty Awori Engola,291,businessperson,True
Q17014619,Hilda J Twongyeirwe,8,Q36180,Hilda Twongyeirwe,290,writer,True
Q21390537,Ellinor Catherine Cunningham-van Someren,5,Q3055126,Ellinor Catherine Cunningham van Someren,289,entomologist,True
