qitem,label,sitelink_count,local_title,local_bytes,ref_bytes,views,completeness,is_stub
Q4795033,Gladys Kalema-Zikusoka,23,Gladys Kalema-Zikusoka,10611,15703.0,2316,67.6,False
Q5001978,Busitema University,8,Busitema University,719,15046.0,2275,4.8,True
Q131620096,Kenneth Semakula,5,Kenneth Semakula,3958,6403.0,2271,61.8,False
Q104839796,Tito Okello,10,Tito Okello (muzannyi wa mupiira),3477,7823.0,2244,44.4,False
Q6702541,Nakadama Rukia Isanga,9,Lukia Isanga Nakadama,4259,6745.0,2244,63.1,False
Q619536,Apollo Kaggwa,9,Apollo Kaggwa,9476,11407.0,2223,83.1,False
Q14956750,Mulago Hospital,6,Mulago National Specialised Hospital,7841,12943.0,2216,60.6,False
Q520214,New Vision,7,New Vision (olupapula lw'amawulire),6708,11670.0,2185,57.5,False
Q1207391,Kayunga District,25,Kayunga (disitulikit),1188,6385.0,2177,18.6,True
Q16732201,Mukasa Mbidde,5,Mukasa Mbidde,20903,20892.0,2156,100.1,False
Q4793893,Maggie Kigozi,12,Maggie Kigozi,7761,10683.0,2154,72.6,False
Q4757568,Andrew Kaggwa,10,Andrew Kaggwa,1677,3130.0,2150,53.6,True
Q115681462,Bobosi Byaruhanga,5,Bobosi Byaruhanga,5547,7681.0,2149,72.2,False
Q1681274,James Wapakhabulo,5,James Wapakhabulo,4580,8300.0,2144,55.2,False
Q519453,Frank Mugisha,20,Frank Mugisha,10969,10976.0,2122,99.9,False
Q1229919,Kasese District,18,Kasese (disitulikit),392,7942.0,2114,4.9,True
Q696437,Ibrahim Sekagya,17,Ibrahim Sekagya,10692,14943.0,2105,71.6,False
Q62090361,Herbert Bockhorn,7,Herbert Bockhorn,8906,11471.0,2083,77.6,False
Q110611318,Travis Mutyaba,11,Travis Mutyaba,9851,13881.0,2068,71.0,False
