qitem,label,en_title,sitelink_count,views,priority,type_labels,num_strategies,strategies
Q1186645,31st meridian east,31st meridian east,15,1126,97.3,meridian,1,country_wd
Q555028,Cyprian Kizito Lwanga,Cyprian Kizito Lwanga,15,1106,97.3,human,2,birth_death_wd|citizenship_wd
Q672826,Uganda Revenue Authority SC,Uganda Revenue Authority FC,15,1070,97.3,association football club,2,country_wd|keyword_title
Q1681437,Kintu Musoke,Kintu Musoke,12,1563,97.3,human,2,birth_death_wd|citizenship_wd
Q105503232,Aziz Kayondo,Aziz Kayondo,9,3582,97.3,human,1,birth_death_wd
Q4273151,Inspector-general of police,Inspector-general of police,8,7834,97.3,"position, Wikimedia list article",1,country_wd
Q56401973,Musa Baluku,Musa Baluku,8,7315,97.3,human,2,birth_death_wd|citizenship_wd
Q142745,Uganda at the 2004 Summer Olympics,Uganda at the 2004 Summer Olympics,15,1017,97.2,Olympic delegation,2,country_wd|keyword_title
Q104839796,Tito Okello,Tito Okello (footballer),10,2244,97.2,human,1,birth_death_wd
Q119616154,Mpondwe school massacre,Mpondwe school massacre,10,2266,97.2,"terrorist attack, school massacre",2,country_wd|keyword_title
Q1407972,2001 Ugandan presidential election,2001 Ugandan presidential election,9,3089,97.2,presidential election,3,country_wd|keyword_title|part_of_wd
Q1895698,Police FC,Police FC (Uganda),9,3006,97.2,association football club,2,country_wd|keyword_title
Q1625351,Holy Spirit Movement,Holy Spirit Movement,8,6329,97.2,"religious organization, armed organization",1,country_wd
Q215347,Gottfried Lessing,Gottfried Lessing,8,6971,97.2,human,1,birth_death_wd
Q4280983,Mao Norbert,Norbert Mao,8,7257,97.2,human,3,birth_death_wd|citizenship_wd|language_wd
Q50413578,Lydia Mugambe,Lydia Mugambe,8,6372,97.2,human,2,birth_death_wd|citizenship_wd
Q6024156,Indians in Uganda,Indians in Uganda,7,51954,97.2,ethnic group,2,country_wd|keyword_title
Q506513,Andrew Mwesigwa,Andrew Mwesigwa,15,961,97.1,human,2,birth_death_wd|citizenship_wd
Q6761316,Maria Kiwanuka,Maria Kiwanuka,12,1168,97.1,human,2,birth_death_wd|citizenship_wd
Q328785,George Cosmas Adyebo,George Cosmas Adyebo,11,1553,97.1,human,2,birth_death_wd|citizenship_wd
Q5534730,Geoffrey Kizito,Geoffrey Kizito,11,1584,97.1,human,2,birth_death_wd|citizenship_wd
Q3082639,Frank Habineza,Frank Habineza,10,1837,97.1,human,1,birth_death_wd
Q662173,Mabira Forest,Mabira Forest,10,1855,97.1,forest reserve,1,country_wd
Q42914066,Uganda at the 2020 Summer Olympics,Uganda at the 2020 Summer Olympics,21,589,97.0,Olympic delegation,2,country_wd|keyword_title
Q71979350,Cleopatra Kambugu Kentaro,Cleopatra Kambugu Kentaro,16,745,97.0,human,1,citizenship_wd
Q982587,Simba F.C. (Uganda),UPDF FC,14,957,97.0,association football club,1,country_wd
Q3381092,Phillip Omondi,Phillip Omondi,13,991,97.0,human,2,birth_death_wd|citizenship_wd
Q16213674,Mariam Ndagire,Mariam Ndagire,11,1393,97.0,human,2,birth_death_wd|citizenship_wd
Q3873733,Uganda men's national basketball team,Uganda men's national basketball team,10,1677,97.0,men's national basketball team,2,country_wd|keyword_title
Q1711861,Uganda Railways Corporation,Uganda Railways Corporation,9,2477,97.0,"railway company, national railway",2,country_wd|keyword_title
Q3105642,Gilbert Bukenya,Gilbert Bukenya,9,2538,97.0,human,2,birth_death_wd|citizenship_wd
Q3316583,Miss Uganda,Miss Uganda,9,2536,97.0,female beauty pageant,2,country_wd|keyword_title
Q22704264,Arif Virani,Arif Virani,8,4110,97.0,human,1,birth_death_wd
Q2997511,Cornelius Boza Edwards,Cornelius Boza-Edwards,8,4710,97.0,human,2,birth_death_wd|citizenship_wd
Q5341172,education in Uganda,Education in Uganda,8,4488,97.0,education in country or region,2,country_wd|keyword_title
Q5866990,history of Uganda,Second Republic of Uganda,7,23425,97.0,aspect of history,2,country_wd|keyword_title
Q85770139,Islamic State – Central Africa Province,Islamic State – Central Africa Province,7,18048,97.0,"terrorist organization, armed organization",1,country_wd
Q97627856,National Unity Platform,National Unity Platform,7,21109,97.0,political party,1,country_wd
Q1186530,32nd meridian east,32nd meridian east,15,747,96.9,meridian,1,country_wd
Q6915910,Moses Oloya,Moses Oloya,13,909,96.9,human,2,birth_death_wd|citizenship_wd
Q5617918,Gulu University,Gulu University,10,1643,96.9,university,1,country_wd
Q619536,Apollo Kaggwa,Apollo Kaggwa,9,2223,96.9,human,3,birth_death_wd|citizenship_wd|language_wd
Q6702541,Nakadama Rukia Isanga,Lukia Isanga Nakadama,9,2244,96.9,human,2,birth_death_wd|citizenship_wd
Q1074974,Kassim Ouma,Kassim Ouma,8,3942,96.9,human,2,birth_death_wd|citizenship_wd
Q1164175,2011 Ugandan general election,2011 Ugandan general election,8,3819,96.9,Ugandan general election,3,country_wd|keyword_title|part_of_wd
Q1668903,2006 Ugandan general election,2006 Ugandan general election,8,3867,96.9,Ugandan general election,3,country_wd|keyword_title|part_of_wd
